Case ID,Country,Crime Type,Reason for Crime,Year,Reported Cases
389,Nigeria,Phishing,Revenge,2012,2051
392,Germany,Phishing,Organized Crime,2000,2008
395,Russia,Phishing,Espionage,2015,2195
398,Nigeria,Phishing,Organized Crime,2016,3225
402,Australia,Phishing,Organized Crime,2012,3367
405,Brazil,Phishing,Challenge,2010,416
409,China,Phishing,Organized Crime,2011,3057
415,United Kingdom,Phishing,Espionage,2006,2230
416,Brazil,Phishing,Organized Crime,2012,1768
423,Brazil,Phishing,Revenge,2000,3421
430,South Africa,Phishing,Unemployment,2002,4747
450,United States,Phishing,Challenge,2012,3665
456,United States,Phishing,Organized Crime,2010,315
480,United Kingdom,Phishing,Revenge,2022,999
493,Nigeria,Phishing,Political Motive,2022,310
498,India,Phishing,Espionage,2012,283
514,Australia,Phishing,Espionage,2013,4497
515,Nigeria,Phishing,Revenge,2006,881
529,Nigeria,Phishing,Peer Influence,2010,4991
547,Brazil,Phishing,Espionage,2004,4792
558,Germany,Phishing,Unemployment,2008,704
560,South Africa,Phishing,Financial Gain,2017,3824
563,South Africa,Phishing,Revenge,2005,3352
572,Australia,Phishing,Revenge,2005,738
595,United States,Phishing,Organized Crime,2021,4318
596,Germany,Phishing,Espionage,2007,2446
610,India,Phishing,Political Motive,2003,4089
611,China,Phishing,Revenge,2009,3521
618,Brazil,Phishing,Political Motive,2008,1382
619,Nigeria,Phishing,Revenge,2021,1639
630,South Africa,Phishing,Unemployment,2006,2503
633,United States,Phishing,Espionage,2018,4766
642,Germany,Phishing,Organized Crime,2022,1380
653,Brazil,Phishing,Unemployment,2021,3918
659,India,Phishing,Organized Crime,2011,4268
671,Germany,Phishing,Espionage,2010,4246
672,Canada,Phishing,Revenge,2008,1357
697,China,Phishing,Financial Gain,2017,872
701,South Africa,Phishing,Political Motive,2021,306
712,Brazil,Phishing,Revenge,2021,1806
713,United States,Phishing,Peer Influence,2004,1202
720,India,Phishing,Political Motive,2005,3123
724,United Kingdom,Phishing,Espionage,2014,3629
753,United States,Phishing,Peer Influence,2000,1914
757,India,Phishing,Unemployment,2011,3764
759,Germany,Phishing,Political Motive,2007,3044
765,Germany,Phishing,Political Motive,2014,3989
769,Russia,Phishing,Political Motive,2021,4640
782,Brazil,Phishing,Organized Crime,2023,931
791,Australia,Phishing,Peer Influence,2023,4159
796,Brazil,Phishing,Unemployment,2005,1951
803,Germany,Phishing,Challenge,2008,3462
815,South Africa,Phishing,Unemployment,2019,3473
819,India,Phishing,Espionage,2006,3918
826,United Kingdom,Phishing,Espionage,2004,4932
830,Brazil,Phishing,Revenge,2010,1608
837,Brazil,Phishing,Espionage,2002,1
851,Russia,Phishing,Financial Gain,2004,4233
870,United States,Phishing,Organized Crime,2000,1128
878,Brazil,Phishing,Financial Gain,2010,3954
879,China,Phishing,Peer Influence,2014,22
880,United States,Phishing,Challenge,2019,2251
913,Australia,Phishing,Unemployment,2004,3530
915,Brazil,Phishing,Unemployment,2008,1311
929,Australia,Phishing,Peer Influence,2011,4210
938,Brazil,Phishing,Espionage,2022,4395
941,Canada,Phishing,Revenge,2007,374
948,United States,Phishing,Challenge,2010,2794
953,Nigeria,Phishing,Challenge,2001,283
956,India,Phishing,Financial Gain,2016,4113
973,China,Phishing,Espionage,2000,2327
978,China,Phishing,Organized Crime,2010,1025
981,United States,Phishing,Organized Crime,2013,2262
982,China,Phishing,Organized Crime,2013,2024
988,South Africa,Phishing,Revenge,2009,3514
991,China,Phishing,Organized Crime,2004,187
994,Russia,Phishing,Financial Gain,2000,608
996,South Africa,Phishing,Challenge,2017,1241
1000,Canada,Phishing,Unemployment,2007,4865
1002,India,Phishing,Espionage,2007,2763
1018,United States,Phishing,Unemployment,2005,4853
1050,Germany,Phishing,Political Motive,2010,4931
1056,Australia,Phishing,Revenge,2006,4693
1057,Brazil,Phishing,Organized Crime,2013,709
1062,India,Phishing,Unemployment,2000,3048
1068,South Africa,Phishing,Political Motive,2003,3441
1073,China,Phishing,Espionage,2004,1626
1080,Australia,Phishing,Organized Crime,2012,4574
1084,Russia,Phishing,Financial Gain,2018,3478
1094,Brazil,Phishing,Peer Influence,2012,4611
1099,Australia,Phishing,Organized Crime,2003,2673
1104,Nigeria,Phishing,Organized Crime,2001,3583
1110,Germany,Phishing,Political Motive,2006,3851
1119,United States,Phishing,Political Motive,2020,2347
1126,Russia,Phishing,Revenge,2010,2760
1129,Germany,Phishing,Organized Crime,2020,2771
1133,United Kingdom,Phishing,Organized Crime,2002,2998
1152,United Kingdom,Phishing,Political Motive,2000,1037
1153,China,Phishing,Unemployment,2019,3373
1160,Canada,Phishing,Espionage,2002,2822
1169,Nigeria,Phishing,Financial Gain,2019,3967
1173,Brazil,Phishing,Financial Gain,2012,2661
1182,Brazil,Phishing,Revenge,2021,2933
1183,Nigeria,Phishing,Organized Crime,2008,3111
1197,South Africa,Phishing,Financial Gain,2021,686
1207,India,Phishing,Political Motive,2005,2786
1209,United Kingdom,Phishing,Political Motive,2005,1049
1246,Canada,Phishing,Financial Gain,2020,2278
1260,United States,Phishing,Financial Gain,2023,4478
1268,Australia,Phishing,Financial Gain,2001,170
1270,China,Phishing,Organized Crime,2002,4251
1278,Australia,Phishing,Financial Gain,2013,2538
1279,United States,Phishing,Espionage,2012,4995
1284,Brazil,Phishing,Peer Influence,2018,4756
1286,Canada,Phishing,Financial Gain,2015,3888
1296,Brazil,Phishing,Revenge,2002,4334
1302,India,Phishing,Political Motive,2016,3520
1304,Australia,Phishing,Challenge,2010,1221
1306,India,Phishing,Challenge,2011,3874
1317,Canada,Phishing,Unemployment,2004,4954
1320,Russia,Phishing,Peer Influence,2022,1731
1322,Nigeria,Phishing,Revenge,2020,461
1324,Canada,Phishing,Organized Crime,2015,1493
1327,United States,Phishing,Espionage,2003,3123
1334,India,Phishing,Espionage,2020,2171
1353,Russia,Phishing,Unemployment,2012,2176
1361,Canada,Phishing,Financial Gain,2003,296
1366,Russia,Phishing,Peer Influence,2017,4086
1367,Germany,Phishing,Espionage,2016,1733
1369,China,Phishing,Challenge,2007,4111
1385,United States,Phishing,Political Motive,2012,1459
1440,India,Phishing,Political Motive,2007,4160
1470,China,Phishing,Peer Influence,2003,2297
1485,Germany,Phishing,Peer Influence,2018,457
1487,South Africa,Phishing,Revenge,2021,4612
1488,China,Phishing,Organized Crime,2019,427
1497,China,Phishing,Challenge,2023,3591
1501,China,Phishing,Political Motive,2017,1452
1505,United Kingdom,Phishing,Unemployment,2000,4898
1512,Germany,Phishing,Challenge,2006,821
1515,Canada,Phishing,Political Motive,2002,740
1523,Brazil,Phishing,Espionage,2006,2253
1524,Canada,Phishing,Financial Gain,2013,1716
1532,Canada,Phishing,Financial Gain,2014,1557
1538,South Africa,Phishing,Peer Influence,2007,4072
1543,South Africa,Phishing,Financial Gain,2008,3951
1548,United States,Phishing,Challenge,2000,801
1549,Nigeria,Phishing,Revenge,2010,1752
1553,United Kingdom,Phishing,Revenge,2000,1020
1565,Russia,Phishing,Financial Gain,2021,146
1577,Russia,Phishing,Financial Gain,2009,2693
1579,Canada,Phishing,Revenge,2013,2903
1580,Nigeria,Phishing,Peer Influence,2023,3942
1585,Russia,Phishing,Espionage,2016,555
1587,United States,Phishing,Espionage,2013,2793
1598,Canada,Phishing,Peer Influence,2011,2156
1605,South Africa,Phishing,Revenge,2021,2885
1628,Russia,Phishing,Unemployment,2000,718
1631,Germany,Phishing,Financial Gain,2011,199
1633,Australia,Phishing,Political Motive,2002,1853
1645,Russia,Phishing,Revenge,2018,3974
1667,Canada,Phishing,Challenge,2004,4383
1727,United Kingdom,Phishing,Revenge,2003,1281
1733,Canada,Phishing,Espionage,2020,4778
1739,India,Phishing,Organized Crime,2002,2262
1753,Nigeria,Phishing,Peer Influence,2022,937
1754,Russia,Phishing,Organized Crime,2014,55
1757,Australia,Phishing,Revenge,2009,1402
1758,China,Phishing,Organized Crime,2000,3276
1760,Nigeria,Phishing,Organized Crime,2019,4992
1764,Russia,Phishing,Organized Crime,2015,3089
1779,Canada,Phishing,Organized Crime,2008,4390
1787,Canada,Phishing,Espionage,2004,1971
1799,Germany,Phishing,Peer Influence,2005,3424
1802,United States,Phishing,Organized Crime,2001,2162
1813,Canada,Phishing,Political Motive,2022,3388
1816,Australia,Phishing,Challenge,2004,2692
1820,Australia,Phishing,Espionage,2010,3465
1825,United States,Phishing,Political Motive,2013,3056
1827,Brazil,Phishing,Revenge,2019,3923
1836,Brazil,Phishing,Political Motive,2019,2029
1838,United Kingdom,Phishing,Peer Influence,2013,3518
1858,Germany,Phishing,Revenge,2008,2155
1860,China,Phishing,Organized Crime,2013,4468
1864,Canada,Phishing,Unemployment,2002,3013
1868,Canada,Phishing,Espionage,2019,4956
1877,India,Phishing,Revenge,2006,1570
1881,China,Phishing,Espionage,2003,389
1905,United Kingdom,Phishing,Peer Influence,2003,1078
1918,Russia,Phishing,Political Motive,2011,1354
1934,Brazil,Phishing,Challenge,2023,2011
1940,United States,Phishing,Organized Crime,2003,3565
1955,South Africa,Phishing,Unemployment,2001,2714
1965,Russia,Phishing,Unemployment,2013,1052
1977,Germany,Phishing,Unemployment,2015,1912
1985,United States,Phishing,Political Motive,2015,2214
1987,United Kingdom,Phishing,Challenge,2001,2717
1989,Australia,Phishing,Unemployment,2012,1179
1995,Russia,Phishing,Challenge,2023,2436
2017,India,Phishing,Espionage,2016,153
2020,Russia,Phishing,Political Motive,2002,550
2025,Russia,Phishing,Political Motive,2001,4776
2035,India,Phishing,Financial Gain,2001,2419
2047,Australia,Phishing,Revenge,2013,2688
2058,Brazil,Phishing,Revenge,2010,2465
2060,South Africa,Phishing,Espionage,2009,1825
2064,South Africa,Phishing,Revenge,2022,3800
2095,Australia,Phishing,Revenge,2023,1093
2102,United Kingdom,Phishing,Revenge,2015,308
2105,Canada,Phishing,Revenge,2023,134
2111,Brazil,Phishing,Revenge,2014,4357
2118,South Africa,Phishing,Challenge,2001,820
2129,South Africa,Phishing,Unemployment,2021,3156
2153,Nigeria,Phishing,Challenge,2010,2752
2155,United States,Phishing,Peer Influence,2010,3626
2157,India,Phishing,Organized Crime,2014,725
2166,Russia,Phishing,Peer Influence,2023,4759
2185,South Africa,Phishing,Revenge,2010,133
2188,Germany,Phishing,Challenge,2012,2663
2196,Russia,Phishing,Political Motive,2012,4567
2204,Brazil,Phishing,Political Motive,2013,1144
2210,Australia,Phishing,Revenge,2001,574
2213,Canada,Phishing,Financial Gain,2004,3222
2221,South Africa,Phishing,Unemployment,2022,4932
2225,Russia,Phishing,Revenge,2015,2355
2228,Nigeria,Phishing,Peer Influence,2021,4818
2251,South Africa,Phishing,Organized Crime,2009,214
2254,Canada,Phishing,Peer Influence,2004,4219
2257,Australia,Phishing,Espionage,2014,2968
2258,South Africa,Phishing,Financial Gain,2005,973
2271,United States,Phishing,Espionage,2000,3844
2281,United Kingdom,Phishing,Financial Gain,2012,3714
2288,Germany,Phishing,Peer Influence,2004,3347
2289,United Kingdom,Phishing,Political Motive,2014,740
2292,United Kingdom,Phishing,Unemployment,2017,3246
2301,China,Phishing,Political Motive,2000,1121
2306,Germany,Phishing,Financial Gain,2009,4214
2311,India,Phishing,Revenge,2015,1095
2319,India,Phishing,Political Motive,2008,4221
2322,Australia,Phishing,Peer Influence,2017,3794
2328,Canada,Phishing,Unemployment,2017,1623
2332,United States,Phishing,Espionage,2007,2147
2342,China,Phishing,Financial Gain,2004,4054
2344,United Kingdom,Phishing,Financial Gain,2011,3696
2355,Australia,Phishing,Unemployment,2023,1701
2387,Russia,Phishing,Unemployment,2000,930
2389,Germany,Phishing,Political Motive,2015,1066
2392,Canada,Phishing,Unemployment,2013,3652
2395,India,Phishing,Political Motive,2003,4179
2406,Nigeria,Phishing,Organized Crime,2003,996
2408,United Kingdom,Phishing,Espionage,2023,4221
2413,United States,Phishing,Political Motive,2014,2946
2426,United States,Phishing,Challenge,2011,801
2455,India,Phishing,Challenge,2016,4118
2465,Russia,Phishing,Espionage,2008,909
2482,Canada,Phishing,Unemployment,2015,4917
2488,India,Phishing,Organized Crime,2022,4088
2512,Russia,Phishing,Espionage,2003,1024
2525,Germany,Phishing,Political Motive,2017,564
2547,South Africa,Phishing,Challenge,2004,13
2549,Russia,Phishing,Espionage,2013,4540
2559,United States,Phishing,Espionage,2014,847
2572,India,Phishing,Revenge,2011,261
2573,Nigeria,Phishing,Challenge,2011,2441
2577,Russia,Phishing,Organized Crime,2009,3934
2583,China,Phishing,Political Motive,2018,662
2585,Germany,Phishing,Challenge,2020,1012
2590,United States,Phishing,Revenge,2016,4098
2596,India,Phishing,Peer Influence,2008,2586
2605,Germany,Phishing,Unemployment,2023,3877
2612,China,Phishing,Peer Influence,2020,1287
2619,Australia,Phishing,Organized Crime,2006,618
2633,India,Phishing,Political Motive,2023,2605
2640,China,Phishing,Revenge,2013,1971
2654,South Africa,Phishing,Political Motive,2001,2920
2675,Nigeria,Phishing,Political Motive,2005,2818
2680,Brazil,Phishing,Challenge,2002,2666
2705,Canada,Phishing,Unemployment,2022,1206
2709,India,Phishing,Organized Crime,2008,1859
2717,Brazil,Phishing,Revenge,2001,2693
2720,Brazil,Phishing,Organized Crime,2011,2421
2730,Canada,Phishing,Financial Gain,2008,1858
2738,Russia,Phishing,Unemployment,2003,1297
2745,Germany,Phishing,Political Motive,2023,1667
2755,Germany,Phishing,Revenge,2007,2143
2756,South Africa,Phishing,Financial Gain,2000,4643
2766,Germany,Phishing,Political Motive,2007,1156
2774,South Africa,Phishing,Unemployment,2002,468
2781,Brazil,Phishing,Political Motive,2020,3140
2782,Australia,Phishing,Unemployment,2001,4283
2785,Germany,Phishing,Challenge,2015,4560
2802,Australia,Phishing,Political Motive,2020,1740
2804,South Africa,Phishing,Challenge,2019,2219
2805,South Africa,Phishing,Financial Gain,2003,2255
2812,Canada,Phishing,Unemployment,2021,1033
2814,Canada,Phishing,Organized Crime,2022,1375
2815,Germany,Phishing,Financial Gain,2009,84
2823,South Africa,Phishing,Espionage,2012,1181
2826,United Kingdom,Phishing,Political Motive,2006,3933
2827,China,Phishing,Unemployment,2020,418
2840,Germany,Phishing,Financial Gain,2009,3044
2845,Canada,Phishing,Unemployment,2018,3871
2855,United Kingdom,Phishing,Espionage,2002,3033
2859,India,Phishing,Financial Gain,2005,4163
2867,Nigeria,Phishing,Peer Influence,2003,581
2888,Germany,Phishing,Unemployment,2013,661
2893,Russia,Phishing,Espionage,2009,2054
2915,Nigeria,Phishing,Peer Influence,2006,3139
2928,United Kingdom,Phishing,Revenge,2000,1152
2930,Canada,Phishing,Peer Influence,2015,2810
2934,Russia,Phishing,Political Motive,2003,3371
2936,Germany,Phishing,Financial Gain,2021,1451
2946,China,Phishing,Challenge,2015,4722
2961,South Africa,Phishing,Revenge,2004,267
2964,United States,Phishing,Organized Crime,2017,4852
2966,Nigeria,Phishing,Unemployment,2000,75
2978,Brazil,Phishing,Organized Crime,2004,4239
2981,Australia,Phishing,Espionage,2004,489
2988,Brazil,Phishing,Espionage,2001,3669
3000,Russia,Phishing,Unemployment,2021,4046
3007,United States,Phishing,Peer Influence,2020,4676
3010,Germany,Phishing,Espionage,2020,1606
3016,Canada,Phishing,Espionage,2004,4626
3029,United Kingdom,Phishing,Financial Gain,2001,3452
3049,Canada,Phishing,Financial Gain,2021,1227
3056,Canada,Phishing,Organized Crime,2010,2031
3062,Brazil,Phishing,Organized Crime,2011,1484
3065,United States,Phishing,Financial Gain,2007,3022
3068,South Africa,Phishing,Espionage,2004,845
3074,India,Phishing,Organized Crime,2008,2173
3075,India,Phishing,Revenge,2012,2584
3081,Nigeria,Phishing,Financial Gain,2009,3121
3083,Canada,Phishing,Organized Crime,2011,3516
3092,Germany,Phishing,Unemployment,2012,554
3094,India,Phishing,Financial Gain,2014,885
3130,Australia,Phishing,Unemployment,2023,2576
3133,United States,Phishing,Revenge,2019,1027
3136,Canada,Phishing,Revenge,2011,150
3142,Brazil,Phishing,Revenge,2016,3511
3146,Nigeria,Phishing,Peer Influence,2009,1668
3148,Canada,Phishing,Organized Crime,2017,69
3157,Germany,Phishing,Peer Influence,2014,3378
3170,South Africa,Phishing,Political Motive,2014,211
3175,Germany,Phishing,Unemployment,2021,1186
3178,China,Phishing,Unemployment,2019,4084
3179,United Kingdom,Phishing,Unemployment,2010,4640
3207,China,Phishing,Unemployment,2002,103
3217,United States,Phishing,Unemployment,2007,4497
3220,Russia,Phishing,Organized Crime,2001,3030
3224,United States,Phishing,Organized Crime,2009,2446
3225,Russia,Phishing,Organized Crime,2003,2827
3226,South Africa,Phishing,Peer Influence,2021,676
3232,India,Phishing,Revenge,2001,1342
3239,Brazil,Phishing,Espionage,2001,1626
3257,Canada,Phishing,Espionage,2012,1130
3267,Australia,Phishing,Espionage,2013,4603
3290,India,Phishing,Peer Influence,2010,2481
3301,Brazil,Phishing,Political Motive,2008,1025
3302,China,Phishing,Unemployment,2020,4962
3316,China,Phishing,Political Motive,2008,1574
3323,Brazil,Phishing,Organized Crime,2006,4005
3327,Brazil,Phishing,Organized Crime,2013,1389
3343,China,Phishing,Peer Influence,2017,1386
3344,India,Phishing,Revenge,2020,4688
3350,Germany,Phishing,Political Motive,2023,3375
3362,Nigeria,Phishing,Organized Crime,2021,3284
3369,Russia,Phishing,Peer Influence,2011,1576
3373,China,Phishing,Financial Gain,2003,1349
3375,India,Phishing,Espionage,2015,4367
3388,United Kingdom,Phishing,Revenge,2015,3035
3395,United Kingdom,Phishing,Challenge,2008,920
3407,India,Phishing,Financial Gain,2016,156
3410,United Kingdom,Phishing,Peer Influence,2010,1438
3427,United States,Phishing,Challenge,2006,4001
3433,Russia,Phishing,Political Motive,2001,949
3446,Brazil,Phishing,Unemployment,2007,3630
3455,United Kingdom,Phishing,Organized Crime,2021,4742
3469,Canada,Phishing,Organized Crime,2010,1315
3480,Australia,Phishing,Political Motive,2021,3803
3481,United States,Phishing,Financial Gain,2009,771
3487,Russia,Phishing,Peer Influence,2001,4810
3491,Germany,Phishing,Espionage,2016,2282
3499,United Kingdom,Phishing,Espionage,2018,2141
3502,United Kingdom,Phishing,Espionage,2022,2272
3510,Australia,Phishing,Peer Influence,2021,1501
3519,Russia,Phishing,Unemployment,2022,927
3522,Australia,Phishing,Revenge,2016,1909
3527,United States,Phishing,Peer Influence,2018,525
3533,United Kingdom,Phishing,Political Motive,2021,3728
3553,Canada,Phishing,Unemployment,2001,3821
3554,India,Phishing,Espionage,2022,1060
3573,Germany,Phishing,Challenge,2011,1457
3580,United States,Phishing,Espionage,2000,1046
3598,China,Phishing,Peer Influence,2008,3446
3601,China,Phishing,Unemployment,2013,3095
3605,South Africa,Phishing,Financial Gain,2022,4701
3606,India,Phishing,Espionage,2003,1812
3613,Russia,Phishing,Peer Influence,2019,2249
3618,Russia,Phishing,Revenge,2002,4468
3626,Brazil,Phishing,Espionage,2012,1510
3632,Canada,Phishing,Organized Crime,2009,3988
3643,Brazil,Phishing,Revenge,2000,4207
3648,Russia,Phishing,Political Motive,2019,2540
3661,Brazil,Phishing,Espionage,2001,221
3667,Russia,Phishing,Revenge,2017,900
3700,Germany,Phishing,Political Motive,2012,4961
3713,China,Phishing,Organized Crime,2001,3623
3718,South Africa,Phishing,Unemployment,2009,2105
3740,United States,Phishing,Unemployment,2002,3941
3741,Brazil,Phishing,Political Motive,2007,3024
3745,United Kingdom,Phishing,Peer Influence,2001,1684
3757,China,Phishing,Revenge,2002,3154
3758,South Africa,Phishing,Revenge,2009,225
3764,United States,Phishing,Unemployment,2014,1036
3770,Canada,Phishing,Political Motive,2011,3352
3775,India,Phishing,Challenge,2010,1978
3791,Germany,Phishing,Political Motive,2013,1588
3808,Brazil,Phishing,Challenge,2020,3973
3814,United Kingdom,Phishing,Political Motive,2020,1234
3844,South Africa,Phishing,Peer Influence,2020,4316
3858,India,Phishing,Revenge,2019,2533
3872,United Kingdom,Phishing,Financial Gain,2012,666
3873,United Kingdom,Phishing,Organized Crime,2002,4243
3874,Russia,Phishing,Financial Gain,2023,813
3886,United Kingdom,Phishing,Political Motive,2017,2632
3895,Russia,Phishing,Espionage,2016,4384
3900,Canada,Phishing,Organized Crime,2002,237
3912,China,Phishing,Revenge,2017,1392
3932,South Africa,Phishing,Organized Crime,2023,4846
3960,United States,Phishing,Organized Crime,2019,3748
3961,Germany,Phishing,Revenge,2014,258
3970,Australia,Phishing,Espionage,2005,1559
3978,Russia,Phishing,Political Motive,2018,1652
3981,China,Phishing,Revenge,2000,2389
4008,India,Phishing,Challenge,2012,2546
4015,United States,Phishing,Organized Crime,2017,1624
4018,Germany,Phishing,Challenge,2017,1802
4019,South Africa,Phishing,Unemployment,2023,2274
4020,Brazil,Phishing,Unemployment,2013,1102
4027,Russia,Phishing,Espionage,2015,1051
4032,Canada,Phishing,Organized Crime,2023,293
4034,Russia,Phishing,Financial Gain,2020,3171
4039,China,Phishing,Peer Influence,2004,4166
4050,Nigeria,Phishing,Unemployment,2000,308
4064,Germany,Phishing,Revenge,2012,3813
4069,China,Phishing,Unemployment,2022,2548
4071,Australia,Phishing,Organized Crime,2020,3
4080,Brazil,Phishing,Unemployment,2008,721
4081,Brazil,Phishing,Espionage,2019,1994
4085,South Africa,Phishing,Peer Influence,2013,2224
4105,South Africa,Phishing,Organized Crime,2015,3744
4106,Brazil,Phishing,Political Motive,2019,2812
4109,Nigeria,Phishing,Peer Influence,2019,502
4112,Nigeria,Phishing,Espionage,2007,2996
4126,Germany,Phishing,Financial Gain,2014,2216
4137,Australia,Phishing,Organized Crime,2010,1388
4138,United Kingdom,Phishing,Unemployment,2008,3639
4139,Germany,Phishing,Financial Gain,2016,669
4143,South Africa,Phishing,Political Motive,2008,128
4147,Germany,Phishing,Peer Influence,2022,3742
4148,United Kingdom,Phishing,Challenge,2001,3401
4158,Canada,Phishing,Revenge,2016,4663
4171,Russia,Phishing,Peer Influence,2022,3575
4174,India,Phishing,Financial Gain,2021,1831
4192,Germany,Phishing,Financial Gain,2020,4957
4238,United States,Phishing,Peer Influence,2008,1421
4253,Nigeria,Phishing,Political Motive,2014,399
4254,Brazil,Phishing,Espionage,2002,2725
4256,Canada,Phishing,Challenge,2022,3757
4265,United States,Phishing,Revenge,2007,3068
4275,Germany,Phishing,Challenge,2004,2046
4281,Canada,Phishing,Unemployment,2012,2878
4283,Canada,Phishing,Organized Crime,2001,4831
4285,Germany,Phishing,Organized Crime,2021,4324
4293,Russia,Phishing,Financial Gain,2003,1595
4303,Australia,Phishing,Organized Crime,2016,2953
4308,United Kingdom,Phishing,Political Motive,2014,2465
4316,Australia,Phishing,Peer Influence,2007,244
4317,South Africa,Phishing,Espionage,2012,4488
4327,United States,Phishing,Organized Crime,2010,481
4368,Brazil,Phishing,Espionage,2004,3402
4370,Brazil,Phishing,Peer Influence,2020,3016
4373,India,Phishing,Organized Crime,2004,4844
4375,Brazil,Phishing,Espionage,2012,2086
4380,Germany,Phishing,Revenge,2021,4302
4395,United Kingdom,Phishing,Revenge,2003,1269
4401,South Africa,Phishing,Unemployment,2013,4622
4406,Canada,Phishing,Organized Crime,2016,4696
4433,Nigeria,Phishing,Revenge,2000,1932
4438,Russia,Phishing,Organized Crime,2015,4924
4447,Australia,Phishing,Revenge,2000,1805
4449,Russia,Phishing,Financial Gain,2019,614
4468,South Africa,Phishing,Financial Gain,2003,1245
4489,Germany,Phishing,Revenge,2013,1944
4492,Germany,Phishing,Financial Gain,2022,2904
4494,United States,Phishing,Espionage,2010,1573
4502,Germany,Phishing,Political Motive,2006,3811
4523,Australia,Phishing,Political Motive,2022,2627
4524,Germany,Phishing,Revenge,2010,243
4552,Germany,Phishing,Organized Crime,2013,3687
4564,Australia,Phishing,Peer Influence,2020,287
4581,Australia,Phishing,Revenge,2002,4453
4591,India,Phishing,Unemployment,2011,3025
4600,South Africa,Phishing,Revenge,2011,1283
4624,Russia,Phishing,Financial Gain,2011,506
4632,Brazil,Phishing,Espionage,2010,3496
4633,China,Phishing,Revenge,2002,605
4634,Germany,Phishing,Peer Influence,2019,2741
4635,Canada,Phishing,Political Motive,2001,243
4642,United Kingdom,Phishing,Political Motive,2023,692
4643,Nigeria,Phishing,Revenge,2023,4091
4645,India,Phishing,Espionage,2015,347
4651,United States,Phishing,Espionage,2005,3080
4682,Canada,Phishing,Political Motive,2011,1855
4693,United Kingdom,Phishing,Financial Gain,2004,2449
4696,Australia,Phishing,Unemployment,2018,2905
4698,United Kingdom,Phishing,Espionage,2003,4860
4706,Germany,Phishing,Challenge,2007,1689
4712,South Africa,Phishing,Political Motive,2012,2636
4718,Canada,Phishing,Challenge,2013,3298
4725,United Kingdom,Phishing,Peer Influence,2000,3303
38,India,Cryptojacking,Revenge,2014,1526
40,South Africa,Cryptojacking,Peer Influence,2000,4040
86,United States,Cryptojacking,Unemployment,2011,3416
90,Australia,Cryptojacking,Espionage,2018,3862
101,Canada,Cryptojacking,Peer Influence,2019,683
129,United States,Cryptojacking,Political Motive,2010,3842
139,South Africa,Cryptojacking,Financial Gain,2019,1946
153,United States,Cryptojacking,Challenge,2000,3401
161,Nigeria,Cryptojacking,Espionage,2020,2275
169,China,Cryptojacking,Challenge,2015,160
186,Russia,Cryptojacking,Political Motive,2002,2325
194,Canada,Cryptojacking,Organized Crime,2000,2696
196,Australia,Cryptojacking,Financial Gain,2015,4708
211,Germany,Cryptojacking,Unemployment,2023,3187
256,Nigeria,Cryptojacking,Political Motive,2002,4792
266,India,Cryptojacking,Organized Crime,2002,1527
270,South Africa,Cryptojacking,Espionage,2007,493
273,Russia,Cryptojacking,Revenge,2017,3473
275,South Africa,Cryptojacking,Peer Influence,2009,2263
